id,flight_number,airline,departure_airport,arrival_airport,scheduled_departure,scheduled_arrival,aircraft,price
40,UA4331,United Airlines,SEA,ATL,2025-12-21T19:00:00,2025-12-21T22:19:21.109502,A321,523.43
41,B68225,JetBlue,DEN,JFK,2025-12-21T23:45:00,2025-12-22T02:40:09.811842,A321,804.28
42,DL7471,Delta Air Lines,JFK,BOS,2025-12-21T07:00:00,2025-12-21T09:39:59.598089,A321,256.72
43,AA7921,American Airlines,BOS,JFK,2025-12-21T05:15:00,2025-12-21T07:28:38.733720,B738,176.99
44,UA4789,United Airlines,ATL,DFW,2025-12-21T22:00:00,2025-12-22T00:48:40.743026,B737,982.9
45,B64980,JetBlue,MIA,ORD,2025-12-21T09:00:00,2025-12-21T11:00:01.180456,A320,620.24
46,WN3342,Southwest Airlines,DFW,ORD,2025-12-21T18:45:00,2025-12-22T00:33:32.295078,B787,290.79
47,B6699,JetBlue,JFK,DFW,2025-12-21T16:15:00,2025-12-21T19:02:51.871083,B738,996.65
48,DL5916,Delta Air Lines,SEA,MIA,2025-12-21T22:15:00,2025-12-22T00:57:32.643347,B737,941.94
49,B62162,JetBlue,SFO,ATL,2025-12-21T13:00:00,2025-12-21T15:15:49.307224,B737,317.33
50,WN2428,Southwest Airlines,ORD,JFK,2025-12-21T06:00:00,2025-12-21T09:23:51.850547,B738,794.83
51,DL5775,Delta Air Lines,SEA,MIA,2025-12-21T22:00:00,2025-12-22T03:18:39.862871,B787,970.82
52,UA3766,United Airlines,LAX,DEN,2025-12-21T21:45:00,2025-12-22T00:13:18.824952,A320,564.84
53,B66204,JetBlue,ATL,SFO,2025-12-21T08:30:00,2025-12-21T10:45:31.640641,B737,183.08
54,WN3328,Southwest Airlines,SEA,ORD,2025-12-21T18:45:00,2025-12-21T21:24:36.350608,B737,349.33
55,AA2106,American Airlines,ATL,SEA,2025-12-21T11:30:00,2025-12-21T14:14:40.246916,B738,949.74
56,B68759,JetBlue,JFK,LAX,2025-12-21T23:15:00,2025-12-22T02:05:54.543433,A321,785.68
57,WN8868,Southwest Airlines,JFK,ATL,2025-12-21T06:30:00,2025-12-21T09:07:36.391357,A321,953.68
58,B66433,JetBlue,LAX,ATL,2025-12-21T20:45:00,2025-12-21T23:01:52.860330,B738,871.53
59,DL424,Delta Air Lines,ATL,ORD,2025-12-22T20:45:00,2025-12-22T22:51:32.890564,B737,525.03
60,AA5447,American Airlines,ORD,BOS,2025-12-22T16:15:00,2025-12-22T19:01:56.098861,A321,290.58
61,UA4414,United Airlines,ORD,SEA,2025-12-22T09:00:00,2025-12-22T12:12:44.511520,B737,740.18
62,B61143,JetBlue,ATL,LAX,2025-12-22T22:30:00,2025-12-23T01:45:44.602517,A321,486.97
63,WN4963,Southwest Airlines,DEN,SEA,2025-12-22T13:30:00,2025-12-22T15:43:35.714095,B737,864.19
64,DL8226,Delta Air Lines,LAX,ORD,2025-12-22T23:15:00,2025-12-23T02:38:46.142494,A321,67.21
65,UA5537,United Airlines,SEA,JFK,2025-12-22T15:30:00,2025-12-22T18:46:28.410007,B737,601.76
66,B62913,JetBlue,BOS,DEN,2025-12-22T07:15:00,2025-12-22T09:33:52.988596,A320,126.39
67,B64941,JetBlue,ORD,DFW,2025-12-22T06:30:00,2025-12-22T12:34:17.162636,B787,826.89
68,AA6381,American Airlines,ORD,DFW,2025-12-22T22:30:00,2025-12-23T01:39:27.625448,A321,421.22
69,WN5803,Southwest Airlines,ORD,LAX,2025-12-22T15:00:00,2025-12-22T18:15:11.538913,B738,820.96
70,AA6513,American Airlines,ATL,LAX,2025-12-22T09:00:00,2025-12-22T12:29:01.195331,A321,345.11
71,UA3675,United Airlines,SEA,DFW,2025-12-22T11:15:00,2025-12-22T16:40:36.694559,B787,246.2
72,AA4518,American Airlines,SFO,LAX,2025-12-22T18:00:00,2025-12-22T21:35:34.613644,A321,322.58
73,UA2522,United Airlines,SEA,DEN,2025-12-22T18:15:00,2025-12-22T21:10:47.800487,A320,606.85
74,DL160,Delta Air Lines,BOS,JFK,2025-12-22T06:30:00,2025-12-22T10:15:27.364999,A321,939.78
75,UA2226,United Airlines,JFK,ATL,2025-12-22T21:15:00,2025-12-23T00:31:52.642009,B737,568.5
76,DL761,Delta Air Lines,MIA,JFK,2025-12-22T16:15:00,2025-12-22T19:24:16.705336,B738,832.86
77,AA7667,American Airlines,LAX,JFK,2025-12-22T08:45:00,2025-12-22T11:26:04.887477,B737,944.7
78,AA948,American Airlines,MIA,ORD,2025-12-22T20:15:00,2025-12-22T22:46:37.553865,B738,887.73
79,AA7407,American Airlines,JFK,ATL,2025-12-22T17:45:00,2025-12-22T23:17:25.944939,B787,249.25
80,B64064,JetBlue,DFW,JFK,2025-12-22T17:45:00,2025-12-22T23:07:33.613328,B787,802.96
81,B61566,JetBlue,LAX,JFK,2025-12-22T09:15:00,2025-12-22T12:07:09.831497,A321,921.22
82,UA5051,United Airlines,JFK,BOS,2025-12-22T07:15:00,2025-12-22T10:14:10.644321,A320,662.18
83,UA9664,United Airlines,SEA,ATL,2025-12-22T07:15:00,2025-12-22T12:23:19.553037,B787,986.26
84,AA4099,American Airlines,BOS,MIA,2025-12-22T23:00:00,2025-12-23T01:17:42.414610,B737,962.27
85,B68893,JetBlue,ORD,ATL,2025-12-22T15:45:00,2025-12-22T19:28:04.217018,A321,554.46
86,AA4827,American Airlines,MIA,SFO,2025-12-22T17:00:00,2025-12-22T19:03:12.550684,B737,474.48
87,DL597,Delta Air Lines,DEN,ATL,2025-12-22T14:00:00,2025-12-22T16:41:51.045228,B738,265.11
88,UA501,United Airlines,DEN,SFO,2025-12-22T06:30:00,2025-12-22T09:29:55.861087,A321,875.28
89,WN7880,Southwest Airlines,SEA,DEN,2025-12-22T16:00:00,2025-12-22T21:28:21.794568,B787,329.25
90,WN5146,Southwest Airlines,SFO,BOS,2025-12-22T06:45:00,2025-12-22T09:16:29.045233,B738,721.78
91,WN2184,Southwest Airlines,SEA,DEN,2025-12-22T11:30:00,2025-12-22T14:03:13.172362,B738,703.06
92,AA8090,American Airlines,BOS,ATL,2025-12-22T05:30:00,2025-12-22T09:06:50.773609,A321,269.82
93,DL9515,Delta Air Lines,ORD,LAX,2025-12-22T20:30:00,2025-12-22T23:05:33.873116,B737,118.68
94,B69308,JetBlue,DFW,BOS,2025-12-22T23:00:00,2025-12-23T01:51:20.069659,B738,291.03
95,B66724,JetBlue,BOS,JFK,2025-12-22T16:30:00,2025-12-22T19:26:47.761520,A320,146.03
96,B61723,JetBlue,MIA,LAX,2025-12-22T18:15:00,2025-12-22T20:48:23.775323,B737,660.55
97,WN7802,Southwest Airlines,DEN,ORD,2025-12-22T14:30:00,2025-12-22T17:00:58.181786,B737,854.15
98,DL1467,Delta Air Lines,SEA,DFW,2025-12-22T19:00:00,2025-12-22T21:47:38.268486,B737,628.61
99,UA681,United Airlines,SEA,ATL,2025-12-23T14:45:00,2025-12-23T18:28:48.514352,A321,972.79
100,UA7217,United Airlines,MIA,BOS,2025-12-23T07:30:00,2025-12-23T09:58:53.926317,A320,921.86
101,WN2301,Southwest Airlines,LAX,MIA,2025-12-23T19:30:00,2025-12-24T01:00:26.312568,B787,660.73
102,AA3350,American Airlines,MIA,DEN,2025-12-23T05:00:00,2025-12-23T07:12:42.408837,A320,459.61
103,DL2567,Delta Air Lines,LAX,DFW,2025-12-23T19:00:00,2025-12-23T21:24:14.022687,B738,176.48
104,UA5780,United Airlines,ORD,SEA,2025-12-23T23:00:00,2025-12-24T01:09:52.103771,A320,189.78
105,DL3103,Delta Air Lines,BOS,JFK,2025-12-23T15:30:00,2025-12-23T18:03:50.649874,B737,988.69
106,AA7567,American Airlines,SFO,MIA,2025-12-23T20:45:00,2025-12-24T02:21:21.107353,B787,592.13
107,DL4264,Delta Air Lines,DFW,ORD,2025-12-23T18:30:00,2025-12-23T21:15:04.373074,B737,804.74
108,DL1856,Delta Air Lines,SEA,ATL,2025-12-23T10:15:00,2025-12-23T16:29:25.112051,B787,119.35
109,AA1623,American Airlines,SEA,BOS,2025-12-23T17:45:00,2025-12-23T20:13:09.950400,B737,682.56
110,WN5150,Southwest Airlines,SEA,ORD,2025-12-23T12:30:00,2025-12-23T17:59:58.164346,B787,162.56
111,UA7442,United Airlines,SFO,BOS,2025-12-23T21:30:00,2025-12-24T00:34:04.066614,B737,885.42
112,B68636,JetBlue,SFO,JFK,2025-12-23T07:45:00,2025-12-23T11:12:49.719573,A321,666.1
113,UA4993,United Airlines,JFK,DFW,2025-12-23T13:15:00,2025-12-23T15:15:36.742304,B737,79.5
114,UA8586,United Airlines,MIA,JFK,2025-12-23T06:15:00,2025-12-23T09:17:11.813578,A320,580.66
115,B62660,JetBlue,SEA,ATL,2025-12-23T08:45:00,2025-12-23T11:36:07.279126,A321,541.43
116,DL982,Delta Air Lines,MIA,SEA,2025-12-23T15:30:00,2025-12-23T18:25:54.498072,A320,775.32
117,DL3000,Delta Air Lines,MIA,DEN,2025-12-23T14:00:00,2025-12-23T19:33:56.822261,B787,880.98
118,WN6856,Southwest Airlines,BOS,SEA,2025-12-23T07:00:00,2025-12-23T10:02:07.084720,B738,652.92
119,UA2539,United Airlines,ATL,LAX,2025-12-23T14:00:00,2025-12-23T16:22:16.600249,A320,439.0
120,UA3178,United Airlines,DEN,ATL,2025-12-23T20:15:00,2025-12-23T23:09:17.588516,A320,875.52
121,B66853,JetBlue,MIA,SEA,2025-12-23T21:45:00,2025-12-24T00:21:29.976557,B737,625.26
122,AA8088,American Airlines,SEA,SFO,2025-12-23T14:45:00,2025-12-23T19:48:17.558959,B787,341.63
123,UA7803,United Airlines,ATL,LAX,2025-12-23T13:30:00,2025-12-23T16:47:54.009119,B737,238.12
124,AA962,American Airlines,DFW,ATL,2025-12-23T05:00:00,2025-12-23T07:27:49.558722,B737,454.3
125,UA5284,United Airlines,SFO,BOS,2025-12-23T07:15:00,2025-12-23T10:41:37.375619,B738,645.14
126,DL9767,Delta Air Lines,LAX,MIA,2025-12-23T10:30:00,2025-12-23T16:02:26.967353,B787,889.17
127,B61843,JetBlue,ATL,DEN,2025-12-23T06:15:00,2025-12-23T08:27:41.666861,A320,400.74
128,B63739,JetBlue,JFK,MIA,2025-12-23T11:00:00,2025-12-23T13:26:21.233402,A320,127.29
129,B67164,JetBlue,SEA,DFW,2025-12-23T23:15:00,2025-12-24T01:17:50.030515,A320,708.91
130,AA1269,American Airlines,BOS,JFK,2025-12-23T15:45:00,2025-12-23T18:32:46.591425,B738,676.32
131,UA7010,United Airlines,MIA,ORD,2025-12-23T05:30:00,2025-12-23T10:37:49.740129,B787,596.55
132,AA8729,American Airlines,ATL,DFW,2025-12-23T22:45:00,2025-12-24T01:50:39.152870,B738,97.25
133,B62556,JetBlue,ATL,SEA,2025-12-23T23:30:00,2025-12-24T02:13:30.069420,A321,433.88
134,AA9468,American Airlines,DEN,MIA,2025-12-23T15:30:00,2025-12-23T17:38:15.962912,B737,461.61
135,AA8362,American Airlines,LAX,SEA,2025-12-23T23:30:00,2025-12-24T02:58:40.611067,A321,977.28
136,UA2356,United Airlines,ORD,SEA,2025-12-23T08:45:00,2025-12-23T12:26:07.159932,A321,841.25
137,UA3707,United Airlines,ORD,DEN,2025-12-23T10:45:00,2025-12-23T13:42:48.633048,B738,355.08
138,DL4815,Delta Air Lines,JFK,SEA,2025-12-23T17:45:00,2025-12-23T21:18:17.495500,A321,407.56
139,UA9600,United Airlines,SEA,SFO,2025-12-23T19:30:00,2025-12-23T21:33:55.024248,A320,663.85
140,DL1138,Delta Air Lines,MIA,ATL,2025-12-23T21:15:00,2025-12-24T03:12:29.576647,B787,144.24
141,DL4068,Delta Air Lines,JFK,DEN,2025-12-23T15:15:00,2025-12-23T18:07:03.606709,A321,789.52
142,AA4661,American Airlines,ORD,JFK,2025-12-23T21:15:00,2025-12-23T23:30:02.959526,A320,982.7
143,WN6085,Southwest Airlines,ORD,BOS,2025-12-23T07:00:00,2025-12-23T09:43:36.200682,B738,276.02
144,WN1637,Southwest Airlines,BOS,DEN,2025-12-23T19:15:00,2025-12-23T22:28:06.448247,B737,72.89
145,AA7628,American Airlines,DEN,JFK,2025-12-23T05:45:00,2025-12-23T08:44:13.937780,B738,214.84
146,AA1449,American Airlines,DFW,SFO,2025-12-23T09:15:00,2025-12-23T11:50:08.344916,B737,672.98
147,DL7430,Delta Air Lines,MIA,SEA,2025-12-23T14:15:00,2025-12-23T17:34:09.541095,A321,638.26
148,AA7929,American Airlines,ORD,ATL,2025-12-23T23:30:00,2025-12-24T01:56:09.997410,B737,236.8
149,AA3291,American Airlines,LAX,ATL,2025-12-23T05:15:00,2025-12-23T07:18:06.104575,A320,842.41
150,DL6923,Delta Air Lines,DEN,SEA,2025-12-23T06:45:00,2025-12-23T12:20:21.178038,B787,916.15
151,WN4175,Southwest Airlines,DFW,MIA,2025-12-23T16:45:00,2025-12-23T22:21:50.910405,B787,414.33
152,DL7994,Delta Air Lines,SFO,MIA,2025-12-23T15:45:00,2025-12-23T19:22:37.369479,A321,90.26
153,WN1250,Southwest Airlines,SEA,ORD,2025-12-23T18:30:00,2025-12-24T00:42:21.610973,B787,483.82
154,DL7331,Delta Air Lines,BOS,MIA,2025-12-23T17:45:00,2025-12-23T20:33:38.725622,A321,709.06
155,AA6122,American Airlines,ORD,DFW,2025-12-23T20:30:00,2025-12-23T23:09:33.032723,B737,761.83
156,DL7943,Delta Air Lines,ORD,ATL,2025-12-23T07:30:00,2025-12-23T13:38:57.649782,B787,350.23
157,DL6235,Delta Air Lines,SEA,LAX,2025-12-23T06:15:00,2025-12-23T09:27:23.110597,A320,370.58
158,B69104,JetBlue,ATL,ORD,2025-12-23T18:45:00,2025-12-23T21:17:49.507569,A321,859.62
159,UA3773,United Airlines,ATL,SFO,2025-12-23T16:15:00,2025-12-23T19:36:32.551688,B738,246.53
160,B6796,JetBlue,DEN,ORD,2025-12-23T22:15:00,2025-12-24T00:55:36.218834,A320,882.88
161,DL9474,Delta Air Lines,LAX,JFK,2025-12-23T06:15:00,2025-12-23T09:45:17.311407,A321,331.23
162,AA6289,American Airlines,SFO,LAX,2025-12-23T23:00:00,2025-12-24T01:30:51.193357,B737,857.21
163,UA3243,United Airlines,DEN,LAX,2025-12-24T17:00:00,2025-12-24T20:07:33.862844,B737,386.54
164,UA3426,United Airlines,SEA,DEN,2025-12-24T10:45:00,2025-12-24T13:10:24.463219,B738,777.14
165,B67597,JetBlue,ORD,MIA,2025-12-24T11:30:00,2025-12-24T14:32:23.847085,A321,477.35
166,UA7305,United Airlines,SFO,ORD,2025-12-24T05:00:00,2025-12-24T11:15:25.104233,B787,226.2
167,WN3097,Southwest Airlines,MIA,ORD,2025-12-24T05:15:00,2025-12-24T07:53:47.426039,A320,756.8
168,WN327,Southwest Airlines,BOS,DEN,2025-12-24T20:15:00,2025-12-25T01:43:10.973330,B787,523.03
169,WN8106,Southwest Airlines,SEA,DEN,2025-12-24T18:30:00,2025-12-25T00:11:03.531154,B787,504.15
170,B64094,JetBlue,MIA,JFK,2025-12-24T19:30:00,2025-12-24T22:59:47.482515,A321,838.52
171,WN5484,Southwest Airlines,LAX,SEA,2025-12-24T05:15:00,2025-12-24T08:02:52.950821,A320,961.36
172,UA4300,United Airlines,BOS,JFK,2025-12-24T10:30:00,2025-12-24T13:59:43.437522,B738,65.5
173,WN6199,Southwest Airlines,ATL,DEN,2025-12-24T13:15:00,2025-12-24T16:01:17.872476,A321,293.23
174,AA5306,American Airlines,JFK,DEN,2025-12-24T15:15:00,2025-12-24T20:17:57.946883,B787,336.69
175,B67972,JetBlue,SFO,MIA,2025-12-24T16:00:00,2025-12-24T18:44:31.306727,A320,209.04
176,DL8290,Delta Air Lines,ATL,ORD,2025-12-24T12:15:00,2025-12-24T14:42:00.566888,B738,223.21
177,B66831,JetBlue,BOS,ORD,2025-12-24T05:15:00,2025-12-24T07:50:14.147238,B738,207.54
178,B61491,JetBlue,LAX,DEN,2025-12-24T14:00:00,2025-12-24T16:45:12.832231,A321,177.46
179,WN8764,Southwest Airlines,SFO,DEN,2025-12-24T09:30:00,2025-12-24T12:13:06.236938,A321,743.56
180,WN1676,Southwest Airlines,ORD,MIA,2025-12-24T22:15:00,2025-12-25T03:47:58.026775,B787,729.56
181,B62207,JetBlue,DFW,ORD,2025-12-24T14:00:00,2025-12-24T16:37:37.679450,B738,782.64
182,DL2240,Delta Air Lines,SEA,LAX,2025-12-24T23:30:00,2025-12-25T02:32:00.491100,B737,281.49
183,AA5371,American Airlines,ATL,LAX,2025-12-24T16:00:00,2025-12-24T19:36:29.463065,A321,717.31
184,WN8899,Southwest Airlines,LAX,SFO,2025-12-24T07:15:00,2025-12-24T09:59:15.417672,A320,419.15
185,AA5772,American Airlines,DFW,LAX,2025-12-24T12:45:00,2025-12-24T18:11:05.271385,B787,203.34
186,WN3390,Southwest Airlines,DEN,ATL,2025-12-24T19:15:00,2025-12-24T22:22:56.116427,A321,821.43
187,DL1989,Delta Air Lines,ORD,SFO,2025-12-24T17:45:00,2025-12-24T23:42:33.604107,B787,492.55
188,AA2984,American Airlines,DEN,BOS,2025-12-24T17:30:00,2025-12-24T20:53:34.252687,A321,148.78
189,B62110,JetBlue,LAX,BOS,2025-12-24T17:30:00,2025-12-24T20:25:02.025067,B738,237.99
190,WN1327,Southwest Airlines,DFW,SEA,2025-12-24T17:00:00,2025-12-24T22:06:56.327702,B787,809.89
191,DL5644,Delta Air Lines,DFW,ORD,2025-12-24T18:00:00,2025-12-24T23:20:54.941112,B787,509.13
192,UA4824,United Airlines,ATL,JFK,2025-12-24T17:45:00,2025-12-24T20:28:38.155583,B737,943.71
193,WN9628,Southwest Airlines,BOS,JFK,2025-12-24T20:30:00,2025-12-25T01:44:48.730882,B787,889.82
194,WN4760,Southwest Airlines,LAX,DEN,2025-12-24T21:45:00,2025-12-25T03:49:46.063049,B787,297.72
195,DL827,Delta Air Lines,ATL,DEN,2025-12-24T20:15:00,2025-12-24T22:40:22.523396,A320,284.0
196,B69546,JetBlue,DEN,BOS,2025-12-24T22:30:00,2025-12-25T03:43:21.070982,B787,875.14
197,WN6737,Southwest Airlines,ORD,SEA,2025-12-24T15:45:00,2025-12-24T18:28:19.975418,A321,298.22
198,AA8140,American Airlines,MIA,DEN,2025-12-24T23:00:00,2025-12-25T01:50:41.537530,B738,369.4
199,UA3873,United Airlines,DFW,BOS,2025-12-24T08:00:00,2025-12-24T13:33:46.462141,B787,96.42
200,DL9560,Delta Air Lines,ORD,SFO,2025-12-24T20:00:00,2025-12-24T22:06:46.371037,B737,902.97
201,DL4444,Delta Air Lines,MIA,DFW,2025-12-24T21:00:00,2025-12-25T00:38:13.294429,A321,374.64
202,B64516,JetBlue,SEA,DFW,2025-12-24T13:15:00,2025-12-24T15:34:11.022702,B738,783.21
203,B66752,JetBlue,DFW,MIA,2025-12-24T06:45:00,2025-12-24T09:19:38.239961,A320,902.09
204,AA1153,American Airlines,SFO,DFW,2025-12-24T08:00:00,2025-12-24T11:28:01.393985,B738,305.39
205,B66286,JetBlue,ATL,LAX,2025-12-24T17:45:00,2025-12-24T23:33:16.094482,B787,295.13
206,UA6861,United Airlines,ORD,BOS,2025-12-24T09:15:00,2025-12-24T11:18:43.211293,A320,211.56
207,UA5543,United Airlines,ATL,BOS,2025-12-24T19:00:00,2025-12-24T21:38:42.105665,B737,775.57
208,UA6071,United Airlines,SEA,SFO,2025-12-24T17:15:00,2025-12-24T19:43:44.999565,B738,327.26
209,B62552,JetBlue,DFW,SEA,2025-12-24T15:45:00,2025-12-24T21:37:06.991146,B787,930.72
210,B62426,JetBlue,ATL,DEN,2025-12-24T12:30:00,2025-12-24T15:37:27.891182,A320,269.4
211,B66129,JetBlue,MIA,LAX,2025-12-24T18:45:00,2025-12-24T22:21:09.228750,A321,902.85
212,WN5511,Southwest Airlines,SFO,SEA,2025-12-24T07:30:00,2025-12-24T13:43:09.067998,B787,177.56
213,DL6447,Delta Air Lines,BOS,DEN,2025-12-24T17:15:00,2025-12-24T19:15:47.400523,B737,790.4
214,DL9512,Delta Air Lines,JFK,MIA,2025-12-25T07:30:00,2025-12-25T10:43:02.102370,B738,370.41
215,WN2978,Southwest Airlines,JFK,DEN,2025-12-25T08:45:00,2025-12-25T11:55:30.961995,B737,372.1
216,WN1957,Southwest Airlines,DFW,SEA,2025-12-25T21:45:00,2025-12-26T00:54:34.134014,B738,293.21
217,AA6926,American Airlines,SEA,BOS,2025-12-25T16:30:00,2025-12-25T20:12:01.041536,A321,813.48
218,B67869,JetBlue,SEA,BOS,2025-12-25T07:30:00,2025-12-25T10:33:12.270586,A321,944.08
219,AA3220,American Airlines,DEN,DFW,2025-12-25T15:00:00,2025-12-25T18:02:03.722827,B737,122.35
220,AA8528,American Airlines,LAX,SFO,2025-12-25T07:15:00,2025-12-25T09:40:21.658344,A320,929.81
221,WN398,Southwest Airlines,LAX,DEN,2025-12-25T23:45:00,2025-12-26T02:01:26.642458,B738,134.35
222,DL9723,Delta Air Lines,MIA,ORD,2025-12-25T14:30:00,2025-12-25T17:41:30.322547,A320,155.78
223,B64225,JetBlue,LAX,MIA,2025-12-25T17:00:00,2025-12-25T19:38:15.316664,A320,117.8
224,DL6861,Delta Air Lines,BOS,LAX,2025-12-25T06:45:00,2025-12-25T13:01:19.754988,B787,608.47
225,UA1097,United Airlines,SEA,LAX,2025-12-25T17:15:00,2025-12-25T20:15:26.255325,A320,416.48
226,B64033,JetBlue,SEA,ATL,2025-12-25T13:30:00,2025-12-25T16:36:04.288664,A321,431.39
227,B63844,JetBlue,SFO,ATL,2025-12-25T06:00:00,2025-12-25T08:55:44.919204,B738,556.71
228,UA8538,United Airlines,ORD,ATL,2025-12-25T07:00:00,2025-12-25T10:21:52.110308,A321,566.05
229,WN3903,Southwest Airlines,ORD,DFW,2025-12-25T06:30:00,2025-12-25T08:30:58.822752,A320,332.87
230,DL1017,Delta Air Lines,JFK,SFO,2025-12-25T12:00:00,2025-12-25T15:11:34.716469,A320,721.88
231,B61526,JetBlue,ORD,DFW,2025-12-25T20:00:00,2025-12-25T23:03:50.341162,B738,767.18
232,DL8902,Delta Air Lines,SEA,DEN,2025-12-25T13:00:00,2025-12-25T15:25:19.813611,B737,363.37
233,B61098,JetBlue,ATL,MIA,2025-12-25T21:15:00,2025-12-26T00:30:31.517242,B738,191.56
234,AA2106,American Airlines,MIA,ATL,2025-12-25T22:00:00,2025-12-26T03:54:45.588852,B787,697.49
235,UA2121,United Airlines,ATL,DEN,2025-12-25T06:45:00,2025-12-25T09:32:00.915676,A320,189.07
236,AA2654,American Airlines,ATL,ORD,2025-12-25T09:30:00,2025-12-25T12:01:44.018608,A321,848.51
237,AA7273,American Airlines,SFO,BOS,2025-12-25T23:45:00,2025-12-26T02:11:36.385859,B738,434.86
238,AA9410,American Airlines,ATL,SFO,2025-12-25T19:15:00,2025-12-26T00:58:26.654382,B787,761.98
239,WN5666,Southwest Airlines,ORD,ATL,2025-12-25T22:45:00,2025-12-26T01:51:18.940205,A321,200.06
240,B63578,JetBlue,SEA,ORD,2025-12-25T14:00:00,2025-12-25T17:16:20.785609,B737,448.64
